Single-Level_Breite_Wigner
Temp do meio:       +1.500000000000000e+03[K]
Massa do isotopo:   +2.360050000000000e+02

ene_val                 sig_val[radiation_xs]           psi                     x                   smr*gg                  chi1          
+9.030000000000010e+00 +7.310466609755536e-01 +4.947865303113431e-04 -4.563244145126112e+01 +1.241328978950284e+03 +2.944711525192440e-01 
+9.032000000000011e+00 +7.336316136508103e-01 +4.969182046460591e-04 -4.553584076185684e+01 +1.241190221095647e+03 +2.944387034114821e-01 
+9.034000000000011e+00 +7.362330189306028e-01 +4.990635696513997e-04 -4.543924017734017e+01 +1.241051509324189e+03 +2.944062650799781e-01 
+9.036000000000012e+00 +7.388510167864589e-01 +5.012227424906640e-04 -4.534263969769310e+01 +1.240912843610408e+03 +2.943738375187683e-01 
+9.038000000000013e+00 +7.414857487146487e-01 +5.033958416054612e-04 -4.524603932289759e+01 +1.240774223928822e+03 +2.943414207218943e-01 
+9.040000000000013e+00 +7.441373577573301e-01 +5.055829867334286e-04 -4.514943905293566e+01 +1.240635650253971e+03 +2.943090146834020e-01 
+9.042000000000014e+00 +7.468059885240436e-01 +5.077842989262383e-04 -4.505283888778928e+01 +1.240497122560411e+03 +2.942766193973419e-01 
+9.044000000000015e+00 +7.494917872135949e-01 +5.099999005679364e-04 -4.495623882744047e+01 +1.240358640822720e+03 +2.942442348577692e-01 
+9.046000000000015e+00 +7.521949016363240e-01 +5.122299153935955e-04 -4.485963887187125e+01 +1.240220205015494e+03 +2.942118610587436e-01 
+9.048000000000016e+00 +7.549154812368102e-01 +5.144744685083367e-04 -4.476303902106364e+01 +1.240081815113353e+03 +2.941794979943296e-01 
+9.050000000000017e+00 +7.576536771169438e-01 +5.167336864066612e-04 -4.466643927499967e+01 +1.239943471090930e+03 +2.941471456585960e-01 
+9.052000000000017e+00 +7.604096420594310e-01 +5.190076969921347e-04 -4.456983963366138e+01 +1.239805172922883e+03 +2.941148040456163e-01 
+9.054000000000018e+00 +7.631835305517590e-01 +5.212966295974657e-04 -4.447324009703082e+01 +1.239666920583886e+03 +2.940824731494688e-01 
+9.056000000000019e+00 +7.659754988105847e-01 +5.236006150049311e-04 -4.437664066509004e+01 +1.239528714048637e+03 +2.940501529642360e-01 
+9.058000000000019e+00 +7.687857048065287e-01 +5.259197854671453e-04 -4.428004133782112e+01 +1.239390553291848e+03 +2.940178434840053e-01 
+9.060000000000020e+00 +7.716143082895037e-01 +5.282542747282731e-04 -4.418344211520611e+01 +1.239252438288255e+03 +2.939855447028685e-01 
+9.062000000000021e+00 +7.744614708144999e-01 +5.306042180456221e-04 -4.408684299722710e+01 +1.239114369012611e+03 +2.939532566149222e-01 
+9.064000000000021e+00 +7.773273557677998e-01 +5.329697522115989e-04 -4.399024398386618e+01 +1.238976345439690e+03 +2.939209792142669e-01 
+9.066000000000022e+00 +7.802121283937470e-01 +5.353510155761275e-04 -4.389364507510544e+01 +1.238838367544283e+03 +2.938887124950085e-01 
